key,3
#,Name
offset,0
int32,str
0,
1,重生之境
2,第七星曆
3,蒼穹之禁城
4,龍詩戰爭終章
5,龍詩戰爭尾聲
6,紅蓮之狂潮
7,解放戰爭戰後
8,暗影之逆焰
9,拂曉回歸
10,末日序曲
11,曉月之終途
12,嶄新的冒險
13,蠻神威脅
14,巴哈姆特
15,水晶塔
16,亞歷山大
17,上古眾神
18,瑪哈之影
19,歐米茄時空狹縫
20,歐米茄時空狹縫外傳
21,重返伊瓦利斯
22,四聖獸奇譚
23,伊甸
24,寄葉異聞：暗黑天啟
25,神兵系列
26,萬魔殿
27,艾歐澤亞神話
28,劇情任務
29,日常任務
30,劇情任務
31,日常任務
32,劇情任務
33,日常任務
34,劇情任務
35,日常任務
36,劇情任務
37,日常任務
38,劇情任務
39,日常任務
40,劇情任務
41,日常任務
42,劇情任務
43,日常任務
44,劇情任務
45,日常任務
46,劇情任務
47,日常任務
48,劇情任務
49,日常任務
50,劇情任務
51,日常任務
52,劇情任務
53,日常任務
54,劇情任務
55,日常任務
56,劇情任務
57,日常任務
58,劇情任務
59,日常任務
60,劇情任務
61,日常任務
62,各族盟友
63,各族盟友：蒼穹之章
64,各族盟友：紅蓮之章
65,龍詩戰爭外傳
66,拂曉回歸外傳
67,嶄新的冒險外傳
68,非著名調查員
69,非著名調查員：蒼穹之章
70,非著名調查員：紅蓮之章
71,希爾迪布蘭德歸來
72,曼德維爾武器
73,黃道武器
74,元靈武器
75,禁地優雷卡
76,天佑女王
77,
78,郵差莫古力
79,聖恩達利姆神學院記
80,虛無界再生計劃
81,塔塔露的大繁榮商店
82,多瑪冒險者團
83,多瑪飛地重建記
84,重建伊修加德：劇情任務
85,重建伊修加德：支線任務
86,
87,死者宮殿
88,天之御柱
89,
90,無人島開拓記
91,多變迷宮
92,支線任務：拉諾西亞
93,支線任務：黑衣森林
94,支線任務：薩納蘭
95,支線任務：庫爾札斯
96,支線任務：摩杜納
97,支線任務：伊修加德
98,支線任務：阿巴拉提亞雲海
99,支線任務：龍堡參天高地
100,支線任務：龍堡內陸低地
101,支線任務：翻雲霧海
102,支線任務：田園郡
103,支線任務：魔大陸
104,支線任務：神拳痕
105,支線任務：基拉巴尼亞邊區
106,支線任務：基拉巴尼亞山區
107,支線任務：基拉巴尼亞湖區
108,支線任務：黃金港
109,支線任務：紅玉海
110,支線任務：延夏
111,支線任務：太陽神草原
112,支線任務：水晶都
113,支線任務：游末邦
114,支線任務：雷克蘭德
115,支線任務：珂露西亞島
116,支線任務：安穆·艾蘭
117,支線任務：伊爾美格
118,支線任務：拉凱提卡大森林
119,支線任務：黑風海
120,支線任務：舊薩雷安
121,支線任務：拉札罕
122,支線任務：迷津
123,支線任務：薩維奈島
124,支線任務：加雷馬
125,支線任務：嘆息海
126,支線任務：厄爾庇斯
127,支線任務：天外天垓
128,劍術師任務
129,格鬥家任務
130,斧術師任務
131,槍術師任務
132,弓箭手任務
133,雙劍師任務
134,幻術師任務
135,咒術師任務
136,秘術師任務
137,刻木匠任務
138,鍛鐵匠任務
139,鑄甲匠任務
140,雕金匠任務
141,製革匠任務
142,裁衣匠任務
143,煉金術士任務
144,烹調師任務
145,採礦工任務
146,園藝工任務
147,捕魚人任務
148,騎士任務
149,武僧任務
150,戰士任務
151,龍騎士任務
152,吟遊詩人任務
153,忍者任務
154,白魔法師任務
155,黑魔法師任務
156,召喚師任務
157,學者任務
158,暗黑騎士任務
159,機工士任務
160,占星術士任務
161,武士任務
162,赤魔法師任務
163,絕槍戰士任務
164,舞者任務
165,賢者任務
166,釤鐮客任務
167,青魔法師任務
168,金屬工藝部任務
169,手工工藝部任務
170,食藥工藝部任務
171,大地資源部任務
172,水生資源部任務
173,中庸工藝館劇情任務
174,考古系任務
175,天文系任務
176,醫學系任務
177,文化系任務
178,乙太系任務
179,薩雷安魔法大學劇情任務
180,防護職能任務
181,治療職能任務
182,物理進攻職能任務
183,魔法進攻職能任務
184,職能劇情任務
185,防護職能任務：曉月之章
186,治療職能任務：曉月之章
187,近戰職能任務：曉月之章
188,遠程物理職能任務：曉月之章
189,遠程魔法職能任務：曉月之章
190,職能劇情任務：曉月之章
191,黑渦團任務
192,雙蛇黨任務
193,恆輝隊任務
194,季節活動
195,降神節
196,東節
197,戀人節
198,戀人節&女兒節
199,女兒節
200,彩蛋狩獵
201,金碟嘉年華
202,紅蓮節
203,新生慶典
204,守護天節
205,星芒節
206,其他季節活動
207,紀念任務
208,來訪者任務
209,傭兵理符任務
210,刻木匠理符任務
211,鍛鐵匠理符任務
212,鑄甲匠理符任務
213,雕金匠理符任務
214,製革匠理符任務
215,裁衣匠理符任務
216,煉金術士理符任務
217,烹調師理符任務
218,採礦工理符任務
219,園藝工理符任務
220,捕魚人理符任務
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,黑渦團理符任務
241,雙蛇黨理符任務
242,恆輝隊理符任務
243,迷宮挑戰
244,大型任務
245,討伐殲滅戰
246,深層迷宮
247,禁地優雷卡
248,天佑女王
249,特殊迷宮
250,公會令
251,主線劇情任務：第六星曆
252,支線任務：第六星曆
253,職業任務：第六星曆
254,特職任務：第六星曆
255,軍隊任務：第六星曆
